raw_aspect,sentence,label,label_id
front camera of 9 lite,front camera of 9 lite is better then 10 lite and back camera is much much better than 9 lite,neutral,1
back camera,front camera of 9 lite is better then 10 lite and back camera is much much better than 9 lite,positive,2
camera,don't buy if u want good camera,negative,0
camera,rest all perfect for me in all aspects other than camera,negative,0
camera,camera is not as expected but its good,neutral,1
battery backup,good battery backup,positive,2
lookwise,lookwise its awesome,positive,2
display,display is not as great as honor 9n,neutral,1
overall,overall its nice product,positive,2
looks like a high end sleek phone,"pros: looks like a high end sleek phone, camera is almost a canon dslr, value for money",positive,2
camera,"pros: looks like a high end sleek phone, camera is almost a canon dslr, value for money",positive,2
value for money,"pros: looks like a high end sleek phone, camera is almost a canon dslr, value for money",positive,2
battery,"cons: battery is average, speed and performance is average",neutral,1
speed and performance,"cons: battery is average, speed and performance is average",neutral,1
overall unmatchable value for money,overall unmatchable value for money at this price,positive,2
phone,very good phone,positive,2
camera,value of money camera is not so good as i expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,negative,0
battery backup,value of money camera is not so good as i expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,positive,2
charging speed,value of money camera is not so good as i expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,neutral,1
design and look,value of money camera is not so good as i expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,positive,2
speed of phone,value of money camera is not so good as i expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,positive,2
value for money,phone is great value for money in this price range,neutral,1
display,"good display, camera and performance",positive,2
camera,"good display, camera and performance",positive,2
performance,"good display, camera and performance",positive,2
worth to buy,worth to buy,positive,2
mobile of the honor,"i speak to my brother, my sister and my house or my friend for whatever phone i do and i record those people because the mobile of the honor is very good and everything else is very fine and to be a taillight don't ask man is very good",positive,2
everything else,"i speak to my brother, my sister and my house or my friend for whatever phone i do and i record those people because the mobile of the honor is very good and everything else is very fine and to be a taillight don't ask man is very good",positive,2
taillight,"i speak to my brother, my sister and my house or my friend for whatever phone i do and i record those people because the mobile of the honor is very good and everything else is very fine and to be a taillight don't ask man is very good",positive,2
performance,performance is avg and at times slower than 2gb redmi 7 overall,neutral,1
overall,performance is avg and at times slower than 2gb redmi 7 overall,neutral,1
ram management,ram management is worst and it can't even hold 2 apps in ram at a time,negative,0
app reloading,"when you go to any upi app to complete payment from any shopping app or ticket booking app and come back to shopping app, it will reload and payments will fail due to app reloading",negative,0
payments will fail,"when you go to any upi app to complete payment from any shopping app or ticket booking app and come back to shopping app, it will reload and payments will fail due to app reloading",negative,0
system apps,"even system apps like settings, contacts etc will reload everytime",negative,0
settings,"even system apps like settings, contacts etc will reload everytime",negative,0
contacts,"even system apps like settings, contacts etc will reload everytime",negative,0
the phone,"hi everyone , the phone looks amazing",positive,2
battery back,battery back is also descent,neutral,1
lasts a whole day,"lasts a whole day , front camera is the highlight",positive,2
front camera,"lasts a whole day , front camera is the highlight",positive,2
emui,emui as always is so beautiful,positive,2
update,got an update just after unboxing ( update size around 3 gb ) overall my upgrade from honor 9 n to 10 lite is great one,neutral,1
upgrade from honor 9 n to 10 lite,got an update just after unboxing ( update size around 3 gb ) overall my upgrade from honor 9 n to 10 lite is great one,positive,2
mobile,best mobile in this price,positive,2
colorful led notification light,colorful led notification light,neutral,1
full charge,full charge in 2 hours,positive,2
ui,ui & camera is also best,positive,2
camera,ui & camera is also best,positive,2
latest security update,you will also get latest security update upto timely,neutral,1
phone,it is very good phone rate is good but only 2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim display is good photograps are coming nicely,positive,2
rate,it is very good phone rate is good but only 2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim display is good photograps are coming nicely,positive,2
2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim,it is very good phone rate is good but only 2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim display is good photograps are coming nicely,negative,0
display,it is very good phone rate is good but only 2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim display is good photograps are coming nicely,positive,2
photograps are coming nicely,it is very good phone rate is good but only 2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim display is good photograps are coming nicely,positive,2
killer phone,honor 10 lite is a killer phone in this price segmenti like super selfie 24mp and sreen ratio is more than 90%thanks flipkart for your big billion days sale and also thank to honor india,positive,2
super selfie 24mp,honor 10 lite is a killer phone in this price segmenti like super selfie 24mp and sreen ratio is more than 90%thanks flipkart for your big billion days sale and also thank to honor india,positive,2
sreen ratio is more than 90%,honor 10 lite is a killer phone in this price segmenti like super selfie 24mp and sreen ratio is more than 90%thanks flipkart for your big billion days sale and also thank to honor india,positive,2
cemera,best cemera in this price range,neutral,1
processer 710 kirin ka,and processer 710 kirin ka is the best,positive,2
display,display best 1080p resolution,positive,2
1080p resolution,display best 1080p resolution,positive,2
divice fully optimized,divice fully optimized,positive,2
phone,no ussuesand i am using this phone 6 month,neutral,1
phone work,phone work excellent,positive,2
worth for money,this is really worth for money nice product from honor i loved it,positive,2
product,this is really worth for money nice product from honor i loved it,positive,2
battery,good battery is awesome and display awesome and i like this mobile,positive,2
display,good battery is awesome and display awesome and i like this mobile,positive,2
this mobile,good battery is awesome and display awesome and i like this mobile,positive,2
performance,"phone has awesome performance, can play pubg in high end graphic, it also have some pre installed apps which r very useful, guys now app like mx player etc have lots of ads in it so it's good to have pre installed apps in phone",positive,2
pre installed apps,"phone has awesome performance, can play pubg in high end graphic, it also have some pre installed apps which r very useful, guys now app like mx player etc have lots of ads in it so it's good to have pre installed apps in phone",positive,2
notification light,"notification light emits colourful light, which is good",positive,2
back is of plastic and glossy,"needs more care as back is of plastic and glossy, so thin lamination is must, however they provided a phone case and screen guard",negative,0
thin lamination,"needs more care as back is of plastic and glossy, so thin lamination is must, however they provided a phone case and screen guard",neutral,1
phone case,"needs more care as back is of plastic and glossy, so thin lamination is must, however they provided a phone case and screen guard",neutral,1
screen guard,"needs more care as back is of plastic and glossy, so thin lamination is must, however they provided a phone case and screen guard",neutral,1
phon,best phon in this price range,positive,2
camera,good camera good battery good screen,positive,2
battery,good camera good battery good screen,positive,2
screen,good camera good battery good screen,positive,2
features,but there are two or three features not like honor 7a,neutral,1
good phone,good phone at a deal od just rs 7000 on big billion days,positive,2
phone,"i bought it for my father and i must say,the phone is just brilliant",positive,2
display,display is fhd+ and viewing angles are best,neutral,1
viewing angles,display is fhd+ and viewing angles are best,positive,2
camera,camera is awesome at this price point,neutral,1
pictures,can shot good pictures with the camera,positive,2
camera,can shot good pictures with the camera,positive,2
ai,ai can also enhance the photo a lot,positive,2
photo,ai can also enhance the photo a lot,positive,2
audio,audio is ok,neutral,1
loudness,no problems with loudness but lacks base,neutral,1
base,no problems with loudness but lacks base,negative,0
emui,emui is filled with lots of stuff,neutral,1
kirin 710,kirin 710 does the job well,positive,2
battery,only con is that the battery is above average,positive,2
best at this segment,"not best at this segment,and at this price point li",negative,0
at this price point,"not best at this segment,and at this price point li",negative,0
screen size,i have been using samsunga9 for a while now(cost is for 32k) and this mobile also same screen size,neutral,1
screen to body ratio,but because of better screen to body ratio this mobile is more easy to use,positive,2
mobile,but because of better screen to body ratio this mobile is more easy to use,positive,2
phone call,in two days i were in phone call for 4 hours and lot of browsing,neutral,1
browsing,in two days i were in phone call for 4 hours and lot of browsing,neutral,1
battery,the battery is sufficient enough and better than my year old samsunga9,neutral,1
qhd resolution,in this price brocket this is the only mobile with qhd resolution while all other mobiles are 750 pixel which makes reading bad,positive,2
750 pixel,in this price brocket this is the only mobile with qhd resolution while all other mobiles are 750 pixel which makes reading bad,negative,0
reading,in this price brocket this is the only mobile with qhd resolution while all other mobiles are 750 pixel which makes reading bad,negative,0
mobile,my recomendation is go this mobile,positive,2
phone camera,firstly i am not here talking about looking of this phone camera display they all good,positive,2
display,firstly i am not here talking about looking of this phone camera display they all good,positive,2
hanging or freezing problem,i'm facing the hanging or freezing problem from day one,negative,0
battery performance,battery performance is decent not upto the mark,neutral,1
sound problem,and one more thing i am facing about it's sound problem like when you listen song or something with earphone sound drops suddenly,negative,0
sound drops suddenly,and one more thing i am facing about it's sound problem like when you listen song or something with earphone sound drops suddenly,negative,0
gaming phone,not a gaming phone at all,negative,0
overall,overall don't go for it friends,negative,0
mobile,the mobile is pretty good as per price but u can either use two sim or one sim and memory card i,neutral,1
price,the mobile is pretty good as per price but u can either use two sim or one sim and memory card i,neutral,1
use two sim or one sim and memory card,the mobile is pretty good as per price but u can either use two sim or one sim and memory card i,neutral,1
hybrid slot,e it has a hybrid slot,neutral,1
battery back up,which is a big drawback and battery back up is also poor,negative,0
phone,rather than that very sleek phone light weight and good performance,positive,2
light weight,rather than that very sleek phone light weight and good performance,positive,2
good performance,rather than that very sleek phone light weight and good performance,positive,2
performance,mind blowing purchase and good relationship with honor family i wanted to take honor play 970ai but finally i bought honor 10liteam happy with this and thank flipkart for this happinessthis phone performance is to good processer is super fast hisilocon kirin 710fcamera quality is very goodthanks again to flipkart and there working staf,positive,2
processer,mind blowing purchase and good relationship with honor family i wanted to take honor play 970ai but finally i bought honor 10liteam happy with this and thank flipkart for this happinessthis phone performance is to good processer is super fast hisilocon kirin 710fcamera quality is very goodthanks again to flipkart and there working staf,positive,2
camera quality,mind blowing purchase and good relationship with honor family i wanted to take honor play 970ai but finally i bought honor 10liteam happy with this and thank flipkart for this happinessthis phone performance is to good processer is super fast hisilocon kirin 710fcamera quality is very goodthanks again to flipkart and there working staf,positive,2
look,perfect look and gorgeous design,positive,2
design,perfect look and gorgeous design,positive,2
phone,the phone is very well balanced and everything is very good at this price,positive,2
everything,the phone is very well balanced and everything is very good at this price,neutral,1
cameras,cameras are extremely great specially low light photography is just awesome,positive,2
low light photography,cameras are extremely great specially low light photography is just awesome,positive,2
options,good but now better options are available in market,neutral,1
front camera,further front camera is not really good as they mentioned it's just ok ok,neutral,1
performer,"excellent performer, the phone click's super images that matches with professionals",positive,2
images,"excellent performer, the phone click's super images that matches with professionals",positive,2
processing​ speed,the processing​ speed also very good,positive,2
compact design,compact design and easy to use,positive,2
easy to use,compact design and easy to use,positive,2
value for money,value for money,neutral,1
the phone,the phone is too nice i am loving it very much,positive,2
honor phone,this is my second honor phone first is honor 9 lite,neutral,1
camera,so nice camera 📸 and nice looks,positive,2
looks,so nice camera 📸 and nice looks,positive,2
value for money,value for money phone,neutral,1
honor 6x,i have honor 6x(still running fine),positive,2
phone,highly reliable phone,positive,2
camara,awesome but shot from camara need some more clarity and details,neutral,1
software,hope honor improve it through software update 🙏🙏👏👏😊😊😊,neutral,1
amazing mobile,honor 10 lite is an amazing mobile i have used honor 9 lite as well and it was awesome as well,positive,2
honor 9 lite,honor 10 lite is an amazing mobile i have used honor 9 lite as well and it was awesome as well,positive,2
it,it looks fab,positive,2
camera,"camera is one of the best at this range, pictures quality is very clean and edge capture is excellent",positive,2
pictures quality,"camera is one of the best at this range, pictures quality is very clean and edge capture is excellent",positive,2
edge capture,"camera is one of the best at this range, pictures quality is very clean and edge capture is excellent",positive,2
display viewing,"display viewing good, look also good, processor fast and for gaming turbo 2",positive,2
look,"display viewing good, look also good, processor fast and for gaming turbo 2",positive,2
processor,"display viewing good, look also good, processor fast and for gaming turbo 2",positive,2
gaming,"display viewing good, look also good, processor fast and for gaming turbo 2",positive,2
battery,0 makhan but battery is very bad,negative,0
worth of money,worth of money,neutral,1
phone,nice phone in this price range with extra ordinary display and nice bettry back up,neutral,1
display,nice phone in this price range with extra ordinary display and nice bettry back up,positive,2
bettery back up,nice phone in this price range with extra ordinary display and nice bettry back up,positive,2
overall performance,overall performance is very good,positive,2
phone,phone is very good,positive,2
camera,"good camera, good battery back up",positive,2
battery back up,"good camera, good battery back up",positive,2
phone hanging problem,but one problem is phone hanging problem,negative,0
all,all most all good,positive,2
mobile honor 10 lite,the mobile honor 10 lite is an excellent product,positive,2
camera,"pros-camera, display, processor, battery",positive,2
display,"pros-camera, display, processor, battery",positive,2
processor,"pros-camera, display, processor, battery",positive,2
battery,"pros-camera, display, processor, battery",positive,2
mobile,very nice mobile and i highly recommend to buy,positive,2
phone,i already have 10 lite my sis like to use this phone so i orded its good awasome phone i love it,positive,2
over all,"over all it's a good product ,except display quality and,the body made with plastic",positive,2
display quality,"over all it's a good product ,except display quality and,the body made with plastic",negative,0
the body made with plastic,"over all it's a good product ,except display quality and,the body made with plastic",negative,0
charging intecator,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",positive,2
design,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",positive,2
finger print sensitivity,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",positive,2
face unlocking system,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",positive,2
product,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",neutral,1
value for money,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",neutral,1
pretty awesome for this range,"now am using like for about a month, and its pretty awesome for this range, especially great in performance and display, battery is quite impressive as i was not expecting that much from honor",neutral,1
performance,"now am using like for about a month, and its pretty awesome for this range, especially great in performance and display, battery is quite impressive as i was not expecting that much from honor",positive,2
display,"now am using like for about a month, and its pretty awesome for this range, especially great in performance and display, battery is quite impressive as i was not expecting that much from honor",positive,2
battery,"now am using like for about a month, and its pretty awesome for this range, especially great in performance and display, battery is quite impressive as i was not expecting that much from honor",positive,2
camera,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",neutral,1
camera is quite contrasting and does not show details,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",negative,0
quite good for selfie lovers,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",positive,2
phone,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",positive,2
its performance,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",positive,2
display,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",positive,2
mobile,superb mobile all the way i purchase this mobile 3 32gb black very nice mobile performance display very nice,positive,2
3 32gb,superb mobile all the way i purchase this mobile 3 32gb black very nice mobile performance display very nice,neutral,1
black,superb mobile all the way i purchase this mobile 3 32gb black very nice mobile performance display very nice,neutral,1
performance,superb mobile all the way i purchase this mobile 3 32gb black very nice mobile performance display very nice,positive,2
display,superb mobile all the way i purchase this mobile 3 32gb black very nice mobile performance display very nice,positive,2
battery,but i think battery is,neutral,1
phone,very nice phone,positive,2
3+32 gb varient,i hv 3+32 gb varient,neutral,1
overall good phone,overall good phone around 10k of purchase,positive,2
camera,"camera not good as expected, specially dynamic range",negative,0
dynamic range,"camera not good as expected, specially dynamic range",negative,0
battery management,battery management is good,positive,2
external speaker,external speaker feel lil robotic sound,negative,0
fingerprint sensor,fingerprint sensor is awesome,positive,2
emui,"emui is better than old, much improved",positive,2
display,display is better like amoled,neutral,1
front camera,front camera good,positive,2
back side,"back side is not satisfactory, very shiney plastic, easily smudges and scratches can impact",negative,0
very shiney plastic,"back side is not satisfactory, very shiney plastic, easily smudges and scratches can impact",neutral,1
easily smudges,"back side is not satisfactory, very shiney plastic, easily smudges and scratches can impact",negative,0
scratches,"back side is not satisfactory, very shiney plastic, easily smudges and scratches can impact",negative,0
build quality,build quality average,neutral,1
phone,"awesome phone, value for money",positive,2
value for money,"awesome phone, value for money",positive,2
3gb ram varient,i bought 3gb ram varient for10k,neutral,1
camera,very good camera (al camera),positive,2
al camera,very good camera (al camera),neutral,1
battery is average good,battery is average good display phone is waterproof and stylish,neutral,1
display,battery is average good display phone is waterproof and stylish,neutral,1
waterproof,battery is average good display phone is waterproof and stylish,neutral,1
stylish,battery is average good display phone is waterproof and stylish,positive,2
this phone,i highly recoment you to buy this phone,positive,2
gaming,for gaming this phone is perfect,positive,2
camera,stay away if you are buying it for camera,negative,0
camera output,camera output has no details at all,negative,0
gcam support,no gcam support,negative,0
beautiful looking device,so i am stuck with this beautiful looking device that has poor cameras,positive,2
poor cameras,so i am stuck with this beautiful looking device that has poor cameras,negative,0
device,ive started liking the device,positive,2
touch & feel,the touch & feel is much superior to realme & redmi devices in same price bracket,positive,2
lags or hangs,no lags or hangs till now,positive,2
display quality,display quality is outstanding too,positive,2
device,"so device is great , only con i felt is regarding cameras",positive,2
cameras,"so device is great , only con i felt is regarding cameras",negative,0
price,they arent worth this price,negative,0
rest all,rest all are class apart,positive,2
honor devices,fabulous love 😍 honor devices used honor 9 lite and was very much impressed with it,positive,2
honor 9 lite,fabulous love 😍 honor devices used honor 9 lite and was very much impressed with it,positive,2
it is also as expected #fully loaded,it is also as expected #fully loaded,positive,2
phone,"this phone is amazing in this price range nd i get this phone in 9999 in a sale in flipkart, thnku for this amazing phone its camera is also very good nd click fabulous pictures",positive,2
camera,"this phone is amazing in this price range nd i get this phone in 9999 in a sale in flipkart, thnku for this amazing phone its camera is also very good nd click fabulous pictures",positive,2
pictures,"this phone is amazing in this price range nd i get this phone in 9999 in a sale in flipkart, thnku for this amazing phone its camera is also very good nd click fabulous pictures",positive,2
display,"display is not too good it is not like a fhd and the camera also the same, one more point is speaker is having single instead of double that why the sound is not sufficient, back & front both are camera resolution is not good because when i m click the pic and doing the zoom the pic was looking very hazy",negative,0
camera,"display is not too good it is not like a fhd and the camera also the same, one more point is speaker is having single instead of double that why the sound is not sufficient, back & front both are camera resolution is not good because when i m click the pic and doing the zoom the pic was looking very hazy",negative,0
speaker,"display is not too good it is not like a fhd and the camera also the same, one more point is speaker is having single instead of double that why the sound is not sufficient, back & front both are camera resolution is not good because when i m click the pic and doing the zoom the pic was looking very hazy",negative,0
sound,"display is not too good it is not like a fhd and the camera also the same, one more point is speaker is having single instead of double that why the sound is not sufficient, back & front both are camera resolution is not good because when i m click the pic and doing the zoom the pic was looking very hazy",negative,0
camera resolution,"display is not too good it is not like a fhd and the camera also the same, one more point is speaker is having single instead of double that why the sound is not sufficient, back & front both are camera resolution is not good because when i m click the pic and doing the zoom the pic was looking very hazy",negative,0
camera quality,i m compare to mi phone note s7 the camera quality was very much good and price that difference in 1000 only and that phone camera mp pixel 48+5 back camera and that camera quality is superb,positive,2
camera,i m compare to mi phone note s7 the camera quality was very much good and price that difference in 1000 only and that phone camera mp pixel 48+5 back camera and that camera quality is superb,positive,2
product,superb product it is satisfied my expectation super fast charging and standby time also good,positive,2
super fast charging,superb product it is satisfied my expectation super fast charging and standby time also good,positive,2
standby time,superb product it is satisfied my expectation super fast charging and standby time also good,positive,2
phone,this is the best phone in this price range,positive,2
the camera,the camera is amazing specially the front one and the rare camera takes fantastic pictures even in low light using the flash behind,positive,2
the front one,the camera is amazing specially the front one and the rare camera takes fantastic pictures even in low light using the flash behind,positive,2
the rare camera,the camera is amazing specially the front one and the rare camera takes fantastic pictures even in low light using the flash behind,positive,2
pictures even in low light using the flash behind,the camera is amazing specially the front one and the rare camera takes fantastic pictures even in low light using the flash behind,positive,2
design,the design of the phone is premium but the display light is bit low while using outdoors under the sunlight apart from that everything is amazing,positive,2
display light,the design of the phone is premium but the display light is bit low while using outdoors under the sunlight apart from that everything is amazing,negative,0
everything,the design of the phone is premium but the display light is bit low while using outdoors under the sunlight apart from that everything is amazing,positive,2
battery performance,the battery performance is moderate,neutral,1
battery,if i dnt use data the battery mostly lasts for a full day otherwise it lasts till evening,neutral,1
features,the features of the phone are amazing,positive,2
honor 10 lite,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,positive,2
look,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,positive,2
features,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,positive,2
battery problem,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,negative,0
battery discharge faster,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,negative,0
phone,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,positive,2
product,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,positive,2
stylish looking phones,undoubtedly one of the stylish looking phones that come with a great mid-ranger chipset,positive,2
great mid-ranger chipset,undoubtedly one of the stylish looking phones that come with a great mid-ranger chipset,positive,2
gpu turbo for gaming,it has gpu turbo for gaming which makes it a great deal above the rest,positive,2
selfie cam,the selfie cam is good too,positive,2
design,but the design is the best in my opinion,positive,2
camera,"camera, processor and display are fantastic",positive,2
processor,"camera, processor and display are fantastic",positive,2
display,"camera, processor and display are fantastic",positive,2
value for money,this phone is value for money,positive,2
performance,good performance phone battery backup good,positive,2
battery backup,good performance phone battery backup good,positive,2
this mobile,this mobile is too good,positive,2
it,like it most,positive,2
camera,for my dad😊😊😊😊camera ia exterme,positive,2
phone for the price,excellent phone for the price,positive,2
pic quality,pic quality is good,positive,2
phone,awsome phone by honor,positive,2
cam,cam is awsm,positive,2
performance,performance is good,positive,2
battery,battery is descent,neutral,1
cam,for cam i have attached same pics to this review,neutral,1
mobile,very nice mobile,positive,2
performance,performance is osm,positive,2
battery,bit battery is little bit disappointed,negative,0
this,one should buy this without hesitation,positive,2
camara,camara is good,positive,2
performance,performance is tolareble,neutral,1
phone lags,phone lags some timeee,negative,0
phone,valuable phone in this price,neutral,1
price,valuable phone in this price,neutral,1
camera quality,"camera quality is good, smooth to use",positive,2
smooth to use,"camera quality is good, smooth to use",positive,2
super camera,"super camera, good battery backup in this price",positive,2
good battery backup in this price,"super camera, good battery backup in this price",neutral,1
it,"not bet, it is good",positive,2
camera,very good camera,positive,2
phone,this phone is approximately best for middle class people,neutral,1
mara value for money,mara value for money,neutral,1
nice looking honer 10 lite,nice looking honer 10 lite,positive,2
camera,camera is good,positive,2
phone,it's really osm phone camera is to good,positive,2
camera,it's really osm phone camera is to good,positive,2
camera,i liked the camera most,positive,2
mobile screen,my mobile screen got damaged on 3 sept 19 and till now they are saying that our backup team will call you with in 24 hrs but its more than 1 month but i did not get any call or msg,negative,0
value of money,value of money 👍👍👍👍👍👍👍👍,positive,2
touch screen,touch screen very sensitive,positive,2
inside parts,"it is just looking like new mobiles but inside parts are used and damaged, this is i personally experienced",negative,0
phone,just awesome phone,positive,2
playing pubg,best for playing pubg,positive,2
camera,camera is better,positive,2
betry pikap,nice luck slim fiss betry pikap not done but very nice fone,neutral,1
fone,nice luck slim fiss betry pikap not done but very nice fone,positive,2
smartphone,best smartphone at this price,positive,2
camera,"nyc camera , display and design",positive,2
display,"nyc camera , display and design",positive,2
design,"nyc camera , display and design",positive,2
price range,best in market at this price range,positive,2
phone camera,this phone camera is good,positive,2
value for money,value for money nice phone nice camera performance 👍👍,positive,2
nice phone,value for money nice phone nice camera performance 👍👍,positive,2
nice camera performance,value for money nice phone nice camera performance 👍👍,positive,2
camera vewing angle,its aswm camera vewing angle,positive,2
performace,and performace was too good,positive,2
design,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,positive,2
dual volte support,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,positive,2
gaming performance,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,positive,2
battery backup,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,positive,2
camera performance,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,positive,2
hybrid sim slot,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,negative,0
fast charging,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,negative,0
hd streaming,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,negative,0
phone,one of the best phone in offer zone,positive,2
budget mobile,best budget mobile,positive,2
satisfied,good i totally satisfied,positive,2
phone,nice phone nd suppeerrbb camera,positive,2
camera,nice phone nd suppeerrbb camera,positive,2
camera,it's amazing superb camera an fabulous look n performance,positive,2
look,it's amazing superb camera an fabulous look n performance,positive,2
performance,it's amazing superb camera an fabulous look n performance,positive,2
device,good device in this range with decent performance,neutral,1
performance,good device in this range with decent performance,neutral,1
sound quality,sound quality very bad,negative,0
tempered glass,tempered glass is little warm,neutral,1
camera,camera is not satisfying,negative,0
very good mobile,very good mobile but i will buy the 3gb ram mobile storage quickly full,positive,2
3gb ram mobile storage,very good mobile but i will buy the 3gb ram mobile storage quickly full,negative,0
phone,is good phone,positive,2
phn look,awsome phn look so nice,positive,2
performance,mobile are good performance,positive,2
camera,best phone in this price camera is best i used 3gb variate but no lag problem in pub g & high graphics games thanks honor india,positive,2
no lag problem in pub g & high graphics games,best phone in this price camera is best i used 3gb variate but no lag problem in pub g & high graphics games thanks honor india,positive,2
company,"nice, nice company for honar mobile is good",positive,2
easy to handle,"very nice, easy to handle and good to play pubg without lag",positive,2
play pubg without lag,"very nice, easy to handle and good to play pubg without lag",positive,2
look,look wise gud,positive,2
camera quality,gud camera quality,positive,2
phone,best phone in this prize,positive,2
prize,best phone in this prize,positive,2
quality,very good quality,positive,2
camera clarity,camera clarity is good 👍,positive,2
product,very good product,positive,2
heating problem,my mobile is very heating problem,negative,0
drin battery,flipkart products rrferble pic not sele in new product or very drin battery not purchase this item,negative,0
product,good product and superb performance,positive,2
performance,good product and superb performance,positive,2
phone,best phone but battery backup very low,positive,2
battery backup,best phone but battery backup very low,negative,0
cemra 24 mp,nice product very good cemra 24 mp,positive,2
honor,honor is the best brand,positive,2
everything,"everything is good on this mobile, but its signal strength are its ok , not good not bad",positive,2
signal strength,"everything is good on this mobile, but its signal strength are its ok , not good not bad",neutral,1
3gb 32gb,my honor 10 lite 3gb 32gb very hanging,neutral,1
hanging,my honor 10 lite 3gb 32gb very hanging,negative,0
photo,this photo is shot from honor 10 lite,neutral,1
camera,the camera is amazing,positive,2
ai option,i took this picture with ai option turned on,neutral,1
ai function,while i was taking the pic its ai function recognised it as sunset photo capturing,neutral,1
sunset photo capturing,while i was taking the pic its ai function recognised it as sunset photo capturing,neutral,1
phone,one of the ghatiya phone i have used,negative,0
mobile,good mobile but battery backup is a little weak,positive,2
battery backup,good mobile but battery backup is a little weak,negative,0
phone,"super phone ,slim phone and good luck but battery medium no high level",positive,2
slim phone,"super phone ,slim phone and good luck but battery medium no high level",positive,2
battery,"super phone ,slim phone and good luck but battery medium no high level",neutral,1
phone,"a decent phone,decent pricing❤️",neutral,1
pricing,"a decent phone,decent pricing❤️",neutral,1
camera,everything is best camera 👌 light weight best selfie camera,positive,2
light weight,everything is best camera 👌 light weight best selfie camera,positive,2
selfie camera,everything is best camera 👌 light weight best selfie camera,positive,2
battery backup,battery backup is not good as compared to money,negative,0
