sentence,raw_aspect,sentiment
Product looks performance camera display and even battery everything is fantastic,battery,Positive
Just go for it,,
But phone is so delicate and its tough to handle it,phone,Positive
But phone is so delicate and its tough to handle it,handle,Negative
Except for that phone is really good I just love it,phone,Positive
Not that great phone as hyped by flipkart in sales,,
"Notch , if you like , 2",Notch,Neutral
"Good size for 1 hand operation , 3",size,Positive
"Fast fingure scan , face scan , 4",fingure scan,Positive
"Fast fingure scan , face scan , 4",face,Positive
"Cons : many restricted features like double tap , customisations , battery is less , hybrid slot , only 1 volte , have to use back protector as glass back is delicate , so mirror finish not useful , low processor speed",features,Negative
"Cons : many restricted features like double tap , customisations , battery is less , hybrid slot , only 1 volte , have to use back protector as glass back is delicate , so mirror finish not useful , low processor speed",tap,Negative
"Cons : many restricted features like double tap , customisations , battery is less , hybrid slot , only 1 volte , have to use back protector as glass back is delicate , so mirror finish not useful , low processor speed",customisations,Negative
"Cons : many restricted features like double tap , customisations , battery is less , hybrid slot , only 1 volte , have to use back protector as glass back is delicate , so mirror finish not useful , low processor speed",battery,Negative
"Cons : many restricted features like double tap , customisations , battery is less , hybrid slot , only 1 volte , have to use back protector as glass back is delicate , so mirror finish not useful , low processor speed",hybrid slot,Negative
"Cons : many restricted features like double tap , customisations , battery is less , hybrid slot , only 1 volte , have to use back protector as glass back is delicate , so mirror finish not useful , low processor speed",glass back,Negative
"Cons : many restricted features like double tap , customisations , battery is less , hybrid slot , only 1 volte , have to use back protector as glass back is delicate , so mirror finish not useful , low processor speed",mirror finish,Negative
"Cons : many restricted features like double tap , customisations , battery is less , hybrid slot , only 1 volte , have to use back protector as glass back is delicate , so mirror finish not useful , low processor speed",processor speed,Negative
"Awesome display , superb design with notch display , but battery performance is average and camera is good as that price",display,Positive
"Awesome display , superb design with notch display , but battery performance is average and camera is good as that price",design,Positive
"Awesome display , superb design with notch display , but battery performance is average and camera is good as that price",battery performance,Neutral
"Awesome display , superb design with notch display , but battery performance is average and camera is good as that price",camera,Neutral
I think the best variant is 4GB 64GB,64GB,Positive
"If you need a good looking phone with good performance without wasting a huge amount of money , here you go",phone,Positive
"If you need a good looking phone with good performance without wasting a huge amount of money , here you go",performance,Positive
"A complete package with 4gb RAM 64gb Storage and Ota Core Processor along with a fancy notch and vibrant display , don ' t underestimate it ' s dual camera , it will surely make u happy",package,Positive
"A complete package with 4gb RAM 64gb Storage and Ota Core Processor along with a fancy notch and vibrant display , don ' t underestimate it ' s dual camera , it will surely make u happy",4gb RAM 64gb Storage,Positive
"A complete package with 4gb RAM 64gb Storage and Ota Core Processor along with a fancy notch and vibrant display , don ' t underestimate it ' s dual camera , it will surely make u happy",Ota Core Processor,Positive
"A complete package with 4gb RAM 64gb Storage and Ota Core Processor along with a fancy notch and vibrant display , don ' t underestimate it ' s dual camera , it will surely make u happy",display,Positive
"A complete package with 4gb RAM 64gb Storage and Ota Core Processor along with a fancy notch and vibrant display , don ' t underestimate it ' s dual camera , it will surely make u happy",dual camera,Positive
"I am choose this phone as secondary , since I am an iPhone user and not a crazy fan of Android",Android,Negative
"Unfortunately android don ' t suite me , don ' t know why",android,Negative
"this time , pray best of luck for me",,
Ordered this phone on 7th and received today in afternoon,,
After looking at the sevice you qill feel amazed with the classy premium looks of it,sevice,Positive
After looking at the sevice you qill feel amazed with the classy premium looks of it,looks,Positive
At this 14k price value of 4gb slot with a notch display will definitely makes a benchmark,price,Neutral
At this 14k price value of 4gb slot with a notch display will definitely makes a benchmark,4gb,Neutral
At this 14k price value of 4gb slot with a notch display will definitely makes a benchmark,display,Positive
The display is too cool with high brighness and full hd,display,Positive
The display is too cool with high brighness and full hd,hd,Positive
Need atleast 1 month of regular usuage to give you tge performance of it,performance,Negative
But today i have open almost 10 + app all together to download set up,app,Negative
Doesnt feel anykind of disturbment or lagging till now,,
"Beautiful phone with beautiful notch , very handy n comfortable",notch,Positive
Very quick fingerprint sensor n face unlock,fingerprint sensor,Positive
Very quick fingerprint sensor n face unlock,face unlock,Positive
Design n build quality is awesome,Design,Positive
Design n build quality is awesome,build quality,Positive
Awesome features in budget segment,features,Positive
Good performance n good battery life,performance,Positive
Good performance n good battery life,battery life,Positive
the product worth the money issues with image clearity front camera is very good back camera is not that good,image clearity front camera,Positive
the product worth the money issues with image clearity front camera is very good back camera is not that good,back camera,Negative
Battery performance is low 2chargings a day required overall it ' s a good product,Battery performance,Negative
Adding some pictures,pictures,Neutral
Nice mobile for this price,mobile,Positive
Nice mobile for this price,price,Positive
Happy to get this made in India mobile,,
Battery performance is good,Battery performance,Positive
Not much heating while playing high resolution games,heating,Positive
Face unlock word fine,,
Camera result you can see attached image,image,Neutral
Awesome mobile in this price,mobile,Positive
Awesome mobile in this price,price,Positive
in low light photos quality not that much good,photos quality,Negative
mobile build quality & design is supper,build quality,Positive
mobile build quality & design is supper,design,Positive
I like the UI of honor,UI,Positive
Excellent build quality,build quality,Positive
fantastic both cameras,cameras,Positive
almost everything is fine butt I am not completly happ y with this one coz this doesn ' t support call recording neither video calling option in dial pad,call recording,Negative
almost everything is fine butt I am not completly happ y with this one coz this doesn ' t support call recording neither video calling option in dial pad,video calling,Negative
one can make vedio call by using third party app which is really disappointin,app,Negative
fantastic phone by honor in this price camara is superb nad notch display is lolling amazing thanqu honor,camara,Positive
fantastic phone by honor in this price camara is superb nad notch display is lolling amazing thanqu honor,display,Positive
4 / 5 Rear camera,Rear camera,Positive
6 / 5 Rear camera should be more better,Rear camera,Negative
Some times found software float like freezing for 1 or 2 seconds,software,Negative
Processing rate should be little more in this price rang,Processing rate,Negative
And hybrid sim slot why,hybrid sim slot,Negative
Battery should be around 4000 mah in this price range,Battery,Neutral
Only single sim 4g are you kidding Honor,,
Good for mid level gamin,gamin,Positive
This android phone is to much good looking so good product I have ordered 31 july and I have got 02,android,Positive
This android phone is to much good looking so good product I have ordered 31 july and I have got 02,looking,Positive
08 2018 good servicing by flipkart camera is so good this is imagine phone,servicing,Positive
08 2018 good servicing by flipkart camera is so good this is imagine phone,camera,Positive
"Awesome camera , awesome display , good battery life",camera,Positive
"Awesome camera , awesome display , good battery life",display,Positive
"Awesome camera , awesome display , good battery life",battery life,Positive
Overall a best package in less amount ☺ ️,package,Positive
Loved it < 3,,
Every thing is good in this phone except battery,battery,Positive
"I think battery is important aspect , but this phone drains battry very quickly",battery,Positive
"I think battery is important aspect , but this phone drains battry very quickly",battry,Negative
After 15 days of use it just became a scrap to me,scrap,Negative
Thats why I give only 1 star,,
Otherwise everything is ok,,
Honor should think about if any upgrade enhance the battery life,upgrade,Neutral
Honor should think about if any upgrade enhance the battery life,battery life,Neutral
Thanx for reading,reading,Positive
nice phone under 15k,phone,Positive
"camera , battery , ram management , storage , performance , face lock awsom 9",camera,Neutral
"camera , battery , ram management , storage , performance , face lock awsom 9",battery,Neutral
"camera , battery , ram management , storage , performance , face lock awsom 9",ram management,Neutral
"camera , battery , ram management , storage , performance , face lock awsom 9",storage,Neutral
"camera , battery , ram management , storage , performance , face lock awsom 9",performance,Neutral
"camera , battery , ram management , storage , performance , face lock awsom 9",face lock,Neutral
5 / 10 awesome phone,phone,Positive
and thanks to Flipkart for genuine product and Honor to,product,Positive
and thanks to Flipkart for genuine product and Honor to,Honor,Positive
Decent phone in this price range,phone,Positive
Decent phone in this price range,price,Positive
Kirin 659 is not up to the mark for gaming,Kirin 659,Negative
For daily normal use it ' s a good phone,use,Positive
For daily normal use it ' s a good phone,phone,Positive
Battery back up us good,Battery,Positive
For 10 - 100 % charging it takes 2,charging,Negative
30hrs for full charge ( without any use ),charge,Negative
At last we can say that in this price range it ' s an good phone in every respect,price,Positive
At last we can say that in this price range it ' s an good phone in every respect,phone,Positive
Camera quality is amazing,Camera quality,Positive
It ' s os system,os system,Negative
And d color egg blue is love,color,Positive
Its a first mobile giving such a beautiful color,mobile,Positive
Its a first mobile giving such a beautiful color,color,Positive
Loved it thanks,,
I ' m using 2 Honor 6X since 1,,
till now honor devices never disappointed me except the pathetic after sales service they provide,sales service,Negative
"For this mobile , except the underperformance of the battery , everything is good in honor 9N",battery,Negative
some preinstalled apps may be annoying for user,apps,Negative
battery lasts a day on normal usage,battery,Positive
Screen is fantastic,Screen,Positive
The mobile is thin and easy to hold,mobile,Positive
The mobile is thin and easy to hold,hold,Positive
They even provided a plastic case which is not durable but will do till you can buy appropriate cover for it,case,Negative
They even provided a plastic case which is not durable but will do till you can buy appropriate cover for it,cover,Negative
Price is a b,Price,Neutral
So Finally writing this review after 2 months of time,review,Negative
I believe the only reason is the battery of this phone where customer think to switch to another companies,battery,Negative
"But honestly batry is not that much of bad , it will give you good back up for 10 - 12 hours",batry,Neutral
This phone has 2 battry modes which will increase your batry backup,battry,Positive
"Another point is about inbuilt call recorder , now in the current version they are offering inbuilt call recorders with excellent quality",quality,Positive
"3rd point is about slots , if you",slots,Negative
Ordered it on 31 july and received it next morning,Ordered,Positive
Phone is amazing,Phone,Positive
Very light weight phone like iphone 6 / 7 / 8,weight,Positive
Very light weight phone like iphone 6 / 7 / 8,iphone,Positive
Front 16megapixel camera is superb,,
Rear 13 + 2mp camera is average in competition,,
Screen is the best thing,Screen,Positive
Phone works flawlesly,Phone,Negative
Battery lasts a day,Battery,Positive
No hang on daily usage things like whatsapp etc,whatsapp,Neutral
Maza aa gya 14000 me,,
cons 1 battery back is average,battery back,Negative
heavy user will face problem2 Audio jack output is poor,Audio jack output,Negative
3 despite notch design there are thick bezel all aroun,design,Negative
Mobile is stunning and very attractive,Mobile,Positive
Light weight and handy,weight,Positive
"About softwares and application , so far everything is good",softwares,Positive
"About softwares and application , so far everything is good",application,Positive
Guess batery backup is not super,batery backup,Negative
maximum 20hrs : ) over all its awesome,,
HONOR - Huawei great job : ),Huawei,Positive
A nice beautiful phone specially for girls with almost all features in budget,phone,Positive
A nice beautiful phone specially for girls with almost all features in budget,features,Positive
"Camera is good but requires some improvement specially front camera , as beauty mode doesn ' t do the needful appropriately ( edge detection is poor ) ; It takes some time ( 1",Camera,Positive
"Camera is good but requires some improvement specially front camera , as beauty mode doesn ' t do the needful appropriately ( edge detection is poor ) ; It takes some time ( 1",front,Negative
"Camera is good but requires some improvement specially front camera , as beauty mode doesn ' t do the needful appropriately ( edge detection is poor ) ; It takes some time ( 1",mode,Negative
"Camera is good but requires some improvement specially front camera , as beauty mode doesn ' t do the needful appropriately ( edge detection is poor ) ; It takes some time ( 1",edge detection,Negative
"6sec ) in opening from the review , though editing options are good",editing options,Positive
Updates may fix the issues but updates are rare,Updates,Negative
"Display good but without any screen protector , though back cover is provided / included",Display,Positive
"Display good but without any screen protector , though back cover is provided / included",screen protector,Negative
"Display good but without any screen protector , though back cover is provided / included",cover,Positive
Face unlock feature is very good and phone,Face unlock,Positive
"Excellent mobile in this price segment decent rear camera and excellent front camera , display is crisp and sharp , light weight , I did not played any high end games , compact size",rear camera,Positive
"Excellent mobile in this price segment decent rear camera and excellent front camera , display is crisp and sharp , light weight , I did not played any high end games , compact size",front camera,Positive
"Excellent mobile in this price segment decent rear camera and excellent front camera , display is crisp and sharp , light weight , I did not played any high end games , compact size",display,Positive
"Excellent mobile in this price segment decent rear camera and excellent front camera , display is crisp and sharp , light weight , I did not played any high end games , compact size",weight,Positive
"Excellent mobile in this price segment decent rear camera and excellent front camera , display is crisp and sharp , light weight , I did not played any high end games , compact size",size,Positive
There is only one competitor in this price segment to Honor 9N & it ' s Redmi Note 5 Pro,price,Neutral
There is only one competitor in this price segment to Honor 9N & it ' s Redmi Note 5 Pro,Honor,Neutral
which I am already using,,
Both phone stands for same quality & performance,quality,Positive
Both phone stands for same quality & performance,performance,Positive
But display of the Honor 9n is more better than Redmi Note 5 Pro,display,Positive
while camera quality of the Redmi Note 5 Pro is better than Honor 9n,camera quality,Positive
while camera quality of the Redmi Note 5 Pro is better than Honor 9n,Honor,Neutral
Design of Honor 9n is very Beautiful than Redmi Note 5 Pro,Design,Positive
Honor is very handy phone,Honor,Positive
easy to handle nd hold in hand,handle,Positive
easy to handle nd hold in hand,hold,Positive
there are more camera features in Honor 9n than in Redmi Note 5 Pro,camera features,Positive
Great device by honor cameras are awesome average battery fit comfortably in hand honor rocks,cameras,Positive
Great device by honor cameras are awesome average battery fit comfortably in hand honor rocks,battery fit,Positive
Best value for money,value,Positive
Best value for money,money,Positive
Amazing display quality,display quality,Positive
Notch cut looks impressive,cut,Positive
Easy to handle comfortable to hold,handle,Positive
Easy to handle comfortable to hold,hold,Positive
Beautiful glass body feels like a premium smartphone,glass body,Positive
Camera is amazing specially the front camera is bestest,Camera,Positive
Camera is amazing specially the front camera is bestest,front camera,Positive
in this price range it gives a amazing camera quality,camera quality,Positive
Battery is pretty good,Battery,Positive
"If your priority in a phone under 15k is amazing camera quality , the amazing quality of display with a super glossy glass look",camera quality,Positive
"If your priority in a phone under 15k is amazing camera quality , the amazing quality of display with a super glossy glass look",quality of display,Positive
"If your priority in a phone under 15k is amazing camera quality , the amazing quality of display with a super glossy glass look",glass look,Positive
Man go for it,,
"Nice camera , Nice Sound , Fast Ram , Excellent Phone , Next day fast Delivery , Thanks Flipkart",camera,Positive
"Nice camera , Nice Sound , Fast Ram , Excellent Phone , Next day fast Delivery , Thanks Flipkart",Sound,Positive
"Nice camera , Nice Sound , Fast Ram , Excellent Phone , Next day fast Delivery , Thanks Flipkart",Ram,Positive
"Nice camera , Nice Sound , Fast Ram , Excellent Phone , Next day fast Delivery , Thanks Flipkart",Phone,Positive
"Nice camera , Nice Sound , Fast Ram , Excellent Phone , Next day fast Delivery , Thanks Flipkart",Delivery,Positive
"Great product for the price , build quality is superb camera is good , battery life is good even though it ' s 3000mah last for day even for continuous usage I really love the product awesome",price,Positive
"Great product for the price , build quality is superb camera is good , battery life is good even though it ' s 3000mah last for day even for continuous usage I really love the product awesome",build quality,Positive
"Great product for the price , build quality is superb camera is good , battery life is good even though it ' s 3000mah last for day even for continuous usage I really love the product awesome",camera,Positive
"Great product for the price , build quality is superb camera is good , battery life is good even though it ' s 3000mah last for day even for continuous usage I really love the product awesome",battery life,Positive
Best camera rear as well as front,camera rear,Positive
Best camera rear as well as front,front,Positive
Potrait mode is also good,Potrait mode,Positive
Only one problem that is battery backup is slightly low,battery backup,Negative
But overall best phone at this price range,phone,Positive
But overall best phone at this price range,price,Positive
Everything about this phone is awesome and most exciting is that all these features are available at this range,features,Positive
"Camera quality is awesome , super build design , processor is quiet good",Camera quality,Positive
"Camera quality is awesome , super build design , processor is quiet good",build design,Positive
"Camera quality is awesome , super build design , processor is quiet good",processor,Positive
Overall a must buy if u want to experience all latest features : ),features,Positive
great phone advantages,advantages,Positive
"super display , great build quality , above average camera , fast face and fingerprint security , nice themes disadvantage",display,Positive
"super display , great build quality , above average camera , fast face and fingerprint security , nice themes disadvantage",build quality,Positive
"super display , great build quality , above average camera , fast face and fingerprint security , nice themes disadvantage",camera,Positive
"super display , great build quality , above average camera , fast face and fingerprint security , nice themes disadvantage",fingerprint security,Positive
"super display , great build quality , above average camera , fast face and fingerprint security , nice themes disadvantage",themes,Positive
"phones is tooo small those who want a big display will get disappointed but it is compact to hold feel little bit slippery , no screen protection like gorilla glass , case provided is",display,Negative
"phones is tooo small those who want a big display will get disappointed but it is compact to hold feel little bit slippery , no screen protection like gorilla glass , case provided is",hold,Negative
"phones is tooo small those who want a big display will get disappointed but it is compact to hold feel little bit slippery , no screen protection like gorilla glass , case provided is",screen protection,Negative
"phones is tooo small those who want a big display will get disappointed but it is compact to hold feel little bit slippery , no screen protection like gorilla glass , case provided is",case,Negative
Am love with this device and its over all features wow experience else can say love at first sight worth buying it,features,Positive
Am love with this device and its over all features wow experience else can say love at first sight worth buying it,experience,Positive
Good battery life ( it lasts for a day with decent usage ) Camera clarity is nice,battery life,Positive
Good battery life ( it lasts for a day with decent usage ) Camera clarity is nice,Camera clarity,Positive
No lagging ( using this phone from last 6 months ) Dimension of the phone is perfect for one hand use,Dimension,Positive
"Edit 1 : Mobile is still going good , camera quality also GOOD compared to the price of the mobile",camera quality,Positive
"Edit 1 : Mobile is still going good , camera quality also GOOD compared to the price of the mobile",price,Negative
Battery also holds for a day with heavy usage ( NOT GAMING just reading books for average of 10 hours or browsing and watching sports shows ),Battery,Positive
After a 1 week I am use this mobile before I am review this mobile,,
Design & built quality is too good 10 / 102,Design,Positive
Design & built quality is too good 10 / 102,built quality,Positive
Display very good 10 / 103,Display,Positive
Camera nice 10 / 84,Camera,Positive
Battery is low 10 / 65,Battery,Negative
Perfomance is very good 10 / 86,Perfomance,Positive
Fingerprint & Face unlock good 10 / 10,Face unlock,Positive
I have almost all top Brands but my first in Huwai Honor Cute phone,,
excellent performance for 12K price range,performance,Positive
excellent performance for 12K price range,price range,Positive
I any like to go for Handy and performance,Handy,Positive
I any like to go for Handy and performance,performance,Positive
please go for Honor N9 the best phone 100 %,,
Phone is amazing awesome performance,performance,Positive
But the battery life is a 3 / 5 it takes a long time to charge,battery life,Negative
Camera has various good features,Camera,Positive
Camera has various good features,features,Positive
"I was one of the first to get the phone , snapped it up on the very first sale",sale,Positive
I ' ve been using it for about two weeks,using,Neutral
PROS : Good DisplayPremium DesignOne day batteryCamera performance is adequatePUBG runs at low settings on smooth without any heating or dropping frame rates,DisplayPremium DesignOne,Positive
PROS : Good DisplayPremium DesignOne day batteryCamera performance is adequatePUBG runs at low settings on smooth without any heating or dropping frame rates,batteryCamera performance,Positive
A classic mode match takes around 5 - 10 percent charge depending on brightness,charge,Negative
"Extra non - stock Android features like dual apps , three finger screenshot , app lock come with EMUINotchCons : Auto brightness randomly",Android,Negative
"Extra non - stock Android features like dual apps , three finger screenshot , app lock come with EMUINotchCons : Auto brightness randomly",app lock,Negative
"Extra non - stock Android features like dual apps , three finger screenshot , app lock come with EMUINotchCons : Auto brightness randomly",EMUINotchCons,Negative
"Extra non - stock Android features like dual apps , three finger screenshot , app lock come with EMUINotchCons : Auto brightness randomly",brightness,Negative
No fast charging available2,charging,Negative
No call recording 3,recording,Negative
13mp camera can only capture photos at 4 : 3 aspect ratio,photos,Negative
13mp camera can only capture photos at 4 : 3 aspect ratio,aspect,Negative
For capturing @ 18 : 9 ratio required the resolution to be reduced,resolution,Negative
And on reduced resolution quality of image is compromised,image,Negative
Same on front camera,front camera,Neutral
No use of dual camera as the bokeh effect is not so attractive,bokeh effect,Negative
One can only enjoy the experience of notch display nothing else can be enjoyed,display,Positive
UI is OK but not at par with MI phones,UI,Neutral
"I was confused between Redmi Note 5 pro , Asus Zenfone Max pro M1 & Honor 9N",,
"But after getting Honor 9N , I really liked it ' s performance",performance,Positive
Honor needs more improvement in Battery performance,Battery performance,Negative
I bought in flipkart and flipkart delivered next day itself,delivered,Positive
Thanks to flipkart for delivered very soon,delivered,Positive
Very attractive and beautiful,,
It ' s very superb mobile and worth for money,mobile,Positive
It ' s very superb mobile and worth for money,money,Positive
Received the product this morning thanks to the Flipkart ' s fast delivery,delivery,Positive
And I must say it ' s a killer beauty,beauty,Positive
Display is amazing with great viewing angles,Display,Positive
Display is amazing with great viewing angles,viewing angles,Positive
The best mobile under this price segment,mobile,Positive
The best mobile under this price segment,price,Positive
"I ordered 4GB + 64GB 11999 ONLY🤩Wowwww what a Colour PURPLE , 🤩🤩🤩🤩",4GB + 64GB,Neutral
"I ordered 4GB + 64GB 11999 ONLY🤩Wowwww what a Colour PURPLE , 🤩🤩🤩🤩",Colour PURPLE,Negative
LOVELY MOBILE I GIFTED FOR MAAA * LOVE * SO IMPRESSED ❤ ️ ❤ ️,MOBILE,Positive
THANK YOU HONOR & FLIPKART STILL NOW NO ISSUES 🤩 ❤ ️,ISSUES,Positive
Thanks to flipkart for fast delivery device is best as exepted i want to say to HONOR company that you provide us back cover with this device but screen glass not provided from your side so please for screen protection provide us screen glass otherwise i feel better this device in my hand of other MI mobiles camara quality is good bettery power is 3000 mh is good other function are so better of other devices i like HONOR device i was also use HONOR HOLLY mobile no any problem of that device i,delivery,Positive
Thanks to flipkart for fast delivery device is best as exepted i want to say to HONOR company that you provide us back cover with this device but screen glass not provided from your side so please for screen protection provide us screen glass otherwise i feel better this device in my hand of other MI mobiles camara quality is good bettery power is 3000 mh is good other function are so better of other devices i like HONOR device i was also use HONOR HOLLY mobile no any problem of that device i,back cover,Negative
Thanks to flipkart for fast delivery device is best as exepted i want to say to HONOR company that you provide us back cover with this device but screen glass not provided from your side so please for screen protection provide us screen glass otherwise i feel better this device in my hand of other MI mobiles camara quality is good bettery power is 3000 mh is good other function are so better of other devices i like HONOR device i was also use HONOR HOLLY mobile no any problem of that device i,screen glass,Negative
Thanks to flipkart for fast delivery device is best as exepted i want to say to HONOR company that you provide us back cover with this device but screen glass not provided from your side so please for screen protection provide us screen glass otherwise i feel better this device in my hand of other MI mobiles camara quality is good bettery power is 3000 mh is good other function are so better of other devices i like HONOR device i was also use HONOR HOLLY mobile no any problem of that device i,camara quality,Positive
Thanks to flipkart for fast delivery device is best as exepted i want to say to HONOR company that you provide us back cover with this device but screen glass not provided from your side so please for screen protection provide us screen glass otherwise i feel better this device in my hand of other MI mobiles camara quality is good bettery power is 3000 mh is good other function are so better of other devices i like HONOR device i was also use HONOR HOLLY mobile no any problem of that device i,power,Positive
Thanks to flipkart for fast delivery device is best as exepted i want to say to HONOR company that you provide us back cover with this device but screen glass not provided from your side so please for screen protection provide us screen glass otherwise i feel better this device in my hand of other MI mobiles camara quality is good bettery power is 3000 mh is good other function are so better of other devices i like HONOR device i was also use HONOR HOLLY mobile no any problem of that device i,function,Positive
ONE OF THE BEST BUDGET SAMRTPHONE ITS A VERY GOOD GADGET AND GOOD PERFORMONACE GOOD BATTERY PICKUP NICE CAMERA QUALITY COLOUR OF MOBILE ITS TOO AMAZING AND SHINY I LOVE THIS PRODUCT THANKS FLIPKART FOR THIS VERY FAST DELIVERY,PERFORMONACE,Positive
ONE OF THE BEST BUDGET SAMRTPHONE ITS A VERY GOOD GADGET AND GOOD PERFORMONACE GOOD BATTERY PICKUP NICE CAMERA QUALITY COLOUR OF MOBILE ITS TOO AMAZING AND SHINY I LOVE THIS PRODUCT THANKS FLIPKART FOR THIS VERY FAST DELIVERY,BATTERY PICKUP,Positive
ONE OF THE BEST BUDGET SAMRTPHONE ITS A VERY GOOD GADGET AND GOOD PERFORMONACE GOOD BATTERY PICKUP NICE CAMERA QUALITY COLOUR OF MOBILE ITS TOO AMAZING AND SHINY I LOVE THIS PRODUCT THANKS FLIPKART FOR THIS VERY FAST DELIVERY,CAMERA QUALITY COLOUR,Positive
ONE OF THE BEST BUDGET SAMRTPHONE ITS A VERY GOOD GADGET AND GOOD PERFORMONACE GOOD BATTERY PICKUP NICE CAMERA QUALITY COLOUR OF MOBILE ITS TOO AMAZING AND SHINY I LOVE THIS PRODUCT THANKS FLIPKART FOR THIS VERY FAST DELIVERY,DELIVERY,Positive
after reading all the positive comments about the honor 9 I ordered it and it just really awesome,honor,Positive
value for money camera quality just awesome must buy 😍😍 100 % satisfied with the mobile,camera quality,Positive
value for money camera quality just awesome must buy 😍😍 100 % satisfied with the mobile,mobile,Positive
at just 11000 best mobile to buy,mobile,Positive
NICE MOBILE KEEP IT THA HAND EASY DISPLAY RESOLUTION GOOD MOBILE DESIGN SUPER,DISPLAY RESOLUTION,Positive
NICE MOBILE KEEP IT THA HAND EASY DISPLAY RESOLUTION GOOD MOBILE DESIGN SUPER,DESIGN,Positive
Built quality and camera are excellent,Built quality,Positive
Built quality and camera are excellent,camera,Positive
The battery life is quite good,battery life,Positive
I am a normal user and I got the backup upto one and a half a day,backup,Positive
I don ' t know why the review is too low for battery,battery,Negative
Power efficient Kirin 659 processor consumes less battery charge,Power,Positive
Power efficient Kirin 659 processor consumes less battery charge,processor,Positive
Power efficient Kirin 659 processor consumes less battery charge,battery charge,Positive
One more thing I liked about this product is its low SAR value ( 0,SAR value,Positive
"If you are a normal user and not a gamer , go for it",gamer,Neutral
"Good Buy for Moderate Users , Not for Heavy Users",Buy,Positive
"Pros : Beautiful Notch Design , Improved Camera , Gorgeous Display , Trusted Brand",Design,Positive
"Pros : Beautiful Notch Design , Improved Camera , Gorgeous Display , Trusted Brand",Camera,Positive
"Pros : Beautiful Notch Design , Improved Camera , Gorgeous Display , Trusted Brand",Display,Positive
"Pros : Beautiful Notch Design , Improved Camera , Gorgeous Display , Trusted Brand",Brand,Positive
"Cons : Small Battery , No Fast Charging , No Native Video Call Support",Battery,Negative
"Cons : Small Battery , No Fast Charging , No Native Video Call Support",Charging,Negative
"Cons : Small Battery , No Fast Charging , No Native Video Call Support",Call Support,Negative
Simply awesome 😍😍 best product so,,
Camera is good and display is simply superb and # feauters,Camera,Positive
Camera is good and display is simply superb and # feauters,display,Positive
Mind blowing 😎😎 & performance is too good,performance,Positive
A perfect notch mobile at this price,mobile,Positive
A perfect notch mobile at this price,price,Positive
WORTH BUYING PRODUCT,PRODUCT,Positive
no doubt go for it,,
The Phone Looks & Feels Premium,Looks,Positive
Build Quality is Good,Build Quality,Positive
It fits Perfectly in Single Hand,fits,Positive
The Kirin 659 Processor Is Ok For Day To Day Usage but not as Good as the Snapdragon 636,Kirin 659 Processor,Neutral
The Kirin 659 Processor Is Ok For Day To Day Usage but not as Good as the Snapdragon 636,Snapdragon 636,Neutral
Rear Camera is Average but the Front Camera is Just Superb,Rear Camera,Neutral
Rear Camera is Average but the Front Camera is Just Superb,Front Camera,Positive
The 16 MP front camera has Great Amount of Details and various Modes,camera,Positive
The 16 MP front camera has Great Amount of Details and various Modes,Details,Positive
The 16 MP front camera has Great Amount of Details and various Modes,Modes,Positive
4 / 64 Model is Value For Money yet Performance Oriented,Money,Positive
4 / 64 Model is Value For Money yet Performance Oriented,Performance,Positive
The Design of the Phone is Unique as Compared to the Mi Phones,Design,Positive
The Notch Display is Vibrant Amd Crisp and has Great Vi,Display,Positive
WORTH THE MONEY,MONEY,Positive
This phone is a beast,phone,Negative
EMUI is one the best and it helps the phone to wrok well under different conditions and also saves the battery,EMUI,Positive
EMUI is one the best and it helps the phone to wrok well under different conditions and also saves the battery,battery,Positive
"This a a well build mobile phone with great screen , design , performance , and of course the trendy notch",screen,Positive
"This a a well build mobile phone with great screen , design , performance , and of course the trendy notch",design,Positive
"This a a well build mobile phone with great screen , design , performance , and of course the trendy notch",performance,Positive
This phone is not made for heavy users is jult for basic daily use user only,phone,Negative
The camera quality is average not so much good,camera quality,Neutral
The battery drains too fast you not memories how fast it drain & heat up so quickly,battery,Negative
I suggest the buyers who want to purchase this phone please go with another phone,,
It will make your money in waste,money,Negative
I want to refund this but why they not refund this product,refund,Positive
Overall very good phonegot it today,phonegot,Positive
display and desigh will make you fall in love with itcamera is a top notch though low light performance could have been improved and eis should be added hopefully in the next ota update,display,Positive
display and desigh will make you fall in love with itcamera is a top notch though low light performance could have been improved and eis should be added hopefully in the next ota update,low light performance,Negative
gaming performance is okay tested pubg and asphalt 8,gaming performance,Neutral
runs smooth in low settings bit of framedrops in medium settings,runs,Positive
runs smooth in low settings bit of framedrops in medium settings,framedrops,Negative
it will most probably be fixed in the gpu boost,gpu boost,Neutral
overall ui experience is good with great features a bit of lag every now and then which is not tha,ui experience,Positive
overall ui experience is good with great features a bit of lag every now and then which is not tha,features,Positive
Only display and design,display,Negative
Only display and design,design,Negative
Please read all the negative reviews,,
The most ghatiya phone by Honor ever regarding camera,phone,Negative
The most ghatiya phone by Honor ever regarding camera,camera,Negative
I love mobile photography,mobile photography,Positive
If you are buying it for camera it will definitely disappoint you,camera,Negative
the secondary 2 mp camera for portrait shot is of almost no use,,
I have used different honor mobiles,,
"Among them starting from the best to worst in camera performance are Honor 9i , Honor 8 , Honor 8 smart , Honor 5X , Honor 9n , Honor7c , Honor 7x",camera performance,Negative
